FEEDBACK_TEXT,FEEDBACK_PAGE,FEEDBACK_QUESTION,USER_TYPE,clean_text,sentiment,scores
The process was smooth and easy to follow.,CareTakerRelationship,Was there any difficulty in completing the task?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
Instructions were clear and helpful.,PersonalInfomration,How satisfied are you with the overall experience on this page?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
It was confusing and difficult to understand.,primarycontactInfo,Was the information on the page clear?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
It was confusing and difficult to understand.,primarycontactInfo,Was there any difficulty in completing the task?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
Very satisfied with the ease of use.,reviewEligibility,Did you find all the information you needed?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"Great user experience, everything was intuitive.",additionalInformation,Was there any difficulty in completing the task?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
It was confusing and difficult to understand.,SignAndSubmit,How easy was the page to navigate?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
Very satisfied with the ease of use.,householdInfomration,How easy was the page to navigate?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Very satisfied with the ease of use.,PersonalInfomration,How satisfied are you with the overall experience on this page?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
The process was smooth and easy to follow.,CareTakerRelationship,How satisfied are you with the overall experience on this page?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"The page loaded quickly, and the information was clear.",primarycontactInfo,Was the information on the page clear?,Assister,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
I had trouble finding the information I needed.,primarycontactInfo,Was there any difficulty in completing the task?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Instructions were clear and helpful.,additionalInformation,How easy was the page to navigate?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Not user-friendly, hard to navigate.",CareTakerRelationship,How satisfied are you with the overall experience on this page?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
I had trouble finding the information I needed.,CareTakerRelationship,Was there any difficulty in completing the task?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
It was confusing and difficult to understand.,additionalInformation,How satisfied are you with the overall experience on this page?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
Instructions were clear and helpful.,primarycontactInfo,How satisfied are you with the overall experience on this page?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
The interface was clunky and slow.,SignAndSubmit,How easy was the page to navigate?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"The page loaded quickly, and the information was clear.",CurrentIncomeDetails,How easy was the page to navigate?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
The interface was clunky and slow.,CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
The interface was clunky and slow.,additionalInformation,Did you find all the information you needed?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"Great user experience, everything was intuitive.",CareTakerRelationship,How satisfied are you with the overall experience on this page?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
I had trouble finding the information I needed.,householdInfomration,How satisfied are you with the overall experience on this page?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Not user-friendly, hard to navigate.",additionalInformation,Was the information on the page clear?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
The process was smooth and easy to follow.,SignAndSubmit,Was the information on the page clear?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"Not user-friendly, hard to navigate.",additionalInformation,Was the information on the page clear?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
The interface was clunky and slow.,incomeReported,Did you find all the information you needed?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
It was confusing and difficult to understand.,PersonalInfomration,Did you find all the information you needed?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"The page loaded quickly, and the information was clear.",CareTakerRelationship,How satisfied are you with the overall experience on this page?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
I experienced several errors and had to reload.,reviewEligibility,Was the information on the page clear?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Not user-friendly, hard to navigate.",reviewEligibility,Did you find all the information you needed?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
The interface was clunky and slow.,CareTakerRelationship,How easy was the page to navigate?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"The page loaded quickly, and the information was clear.",SignAndSubmit,How satisfied are you with the overall experience on this page?,Individual,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
Instructions were clear and helpful.,incomeReported,Was there any difficulty in completing the task?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
I had trouble finding the information I needed.,incomeReported,How satisfied are you with the overall experience on this page?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Very satisfied with the ease of use.,primarycontactInfo,Was there any difficulty in completing the task?,Assister,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"Great user experience, everything was intuitive.",PersonalInfomration,Was the information on the page clear?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"The page loaded quickly, and the information was clear.",CurrentIncomeDetails,Was there any difficulty in completing the task?,Individual,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
It was confusing and difficult to understand.,EligibilityResult,Was the information on the page clear?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
It was confusing and difficult to understand.,SignAndSubmit,How easy was the page to navigate?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"The page loaded quickly, and the information was clear.",EligibilityResult,Was there any difficulty in completing the task?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
It was confusing and difficult to understand.,EligibilityResult,How satisfied are you with the overall experience on this page?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
I had trouble finding the information I needed.,CareTakerRelationship,Was the information on the page clear?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
It was confusing and difficult to understand.,reviewEligibility,How satisfied are you with the overall experience on this page?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"Not user-friendly, hard to navigate.",reviewEligibility,Did you find all the information you needed?,Individual,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Very satisfied with the ease of use.,CurrentIncomeDetails,Was the information on the page clear?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
It was confusing and difficult to understand.,CareTakerRelationship,Was there any difficulty in completing the task?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
Very satisfied with the ease of use.,EligibilityResult,Was the information on the page clear?,Assister,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
The interface was clunky and slow.,householdInfomration,How satisfied are you with the overall experience on this page?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
The process was smooth and easy to follow.,reviewEligibility,How easy was the page to navigate?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
I had trouble finding the information I needed.,SignAndSubmit,Was the information on the page clear?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The process was smooth and easy to follow.,SignAndSubmit,Was there any difficulty in completing the task?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
The interface was clunky and slow.,primarycontactInfo,Did you find all the information you needed?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
I had trouble finding the information I needed.,additionalInformation,How easy was the page to navigate?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"The page loaded quickly, and the information was clear.",householdInfomration,Did you find all the information you needed?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
"The page loaded quickly, and the information was clear.",reviewEligibility,Was the information on the page clear?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
Very satisfied with the ease of use.,incomeReported,How satisfied are you with the overall experience on this page?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
The interface was clunky and slow.,reviewEligibility,How satisfied are you with the overall experience on this page?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
Very satisfied with the ease of use.,primarycontactInfo,Was there any difficulty in completing the task?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"Great user experience, everything was intuitive.",SignAndSubmit,How satisfied are you with the overall experience on this page?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
It was confusing and difficult to understand.,EligibilityResult,How easy was the page to navigate?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
I experienced several errors and had to reload.,incomeReported,How satisfied are you with the overall experience on this page?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"Great user experience, everything was intuitive.",CareTakerRelationship,Was there any difficulty in completing the task?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
It was confusing and difficult to understand.,PersonalInfomration,Was the information on the page clear?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
I had trouble finding the information I needed.,EligibilityResult,Was the information on the page clear?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Very satisfied with the ease of use.,PersonalInfomration,How satisfied are you with the overall experience on this page?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
I had trouble finding the information I needed.,householdInfomration,Did you find all the information you needed?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I had trouble finding the information I needed.,additionalInformation,Was the information on the page clear?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
It was confusing and difficult to understand.,incomeReported,How satisfied are you with the overall experience on this page?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
The interface was clunky and slow.,CurrentIncomeDetails,Was there any difficulty in completing the task?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
It was confusing and difficult to understand.,incomeReported,How satisfied are you with the overall experience on this page?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
Instructions were clear and helpful.,reviewEligibility,Was the information on the page clear?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"The page loaded quickly, and the information was clear.",SignAndSubmit,Was there any difficulty in completing the task?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
"The page loaded quickly, and the information was clear.",reviewEligibility,How satisfied are you with the overall experience on this page?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
"Great user experience, everything was intuitive.",reviewEligibility,How easy was the page to navigate?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"The page loaded quickly, and the information was clear.",householdInfomration,Was there any difficulty in completing the task?,Assister,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
It was confusing and difficult to understand.,EligibilityResult,How easy was the page to navigate?,Agent,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"Not user-friendly, hard to navigate.",CurrentIncomeDetails,Did you find all the information you needed?,Assister,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Very satisfied with the ease of use.,CurrentIncomeDetails,Was there any difficulty in completing the task?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
It was confusing and difficult to understand.,reviewEligibility,How easy was the page to navigate?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
It was confusing and difficult to understand.,PersonalInfomration,Was the information on the page clear?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
I experienced several errors and had to reload.,householdInfomration,Was the information on the page clear?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Very satisfied with the ease of use.,reviewEligibility,Did you find all the information you needed?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
Instructions were clear and helpful.,additionalInformation,Was there any difficulty in completing the task?,Assister,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"The page loaded quickly, and the information was clear.",SignAndSubmit,Was there any difficulty in completing the task?,Individual,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
Very satisfied with the ease of use.,EligibilityResult,Was there any difficulty in completing the task?,Individual,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"The page loaded quickly, and the information was clear.",CareTakerRelationship,Did you find all the information you needed?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
"Great user experience, everything was intuitive.",additionalInformation,Was there any difficulty in completing the task?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
Very satisfied with the ease of use.,PersonalInfomration,Was the information on the page clear?,Agent,satisfied ease use,Positive,"{'neg': 0.0, 'neu': 0.159, 'pos': 0.841, 'compound': 0.6486}"
"The page loaded quickly, and the information was clear.",incomeReported,How easy was the page to navigate?,Assister,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
Instructions were clear and helpful.,incomeReported,Was the information on the page clear?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
The process was smooth and easy to follow.,additionalInformation,Was the information on the page clear?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
I had trouble finding the information I needed.,reviewEligibility,How easy was the page to navigate?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I had trouble finding the information I needed.,CareTakerRelationship,Was the information on the page clear?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Instructions were clear and helpful.,primarycontactInfo,Did you find all the information you needed?,Agent,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
I experienced several errors and had to reload.,primarycontactInfo,How easy was the page to navigate?,Agent,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The process was smooth and easy to follow.,PersonalInfomration,Was the information on the page clear?,Agent,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"Great user experience, everything was intuitive.",reviewEligibility,How satisfied are you with the overall experience on this page?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
Instructions were clear and helpful.,CurrentIncomeDetails,Was the information on the page clear?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
I had trouble finding the information I needed.,CurrentIncomeDetails,Did you find all the information you needed?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I had trouble finding the information I needed.,EligibilityResult,Was there any difficulty in completing the task?,Agent,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
I had trouble finding the information I needed.,CareTakerRelationship,Was the information on the page clear?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The interface was clunky and slow.,CareTakerRelationship,Was there any difficulty in completing the task?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
Instructions were clear and helpful.,incomeReported,How satisfied are you with the overall experience on this page?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
It was confusing and difficult to understand.,householdInfomration,Was the information on the page clear?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"Great user experience, everything was intuitive.",PersonalInfomration,How easy was the page to navigate?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
I had trouble finding the information I needed.,primarycontactInfo,Was there any difficulty in completing the task?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
"The page loaded quickly, and the information was clear.",PersonalInfomration,How satisfied are you with the overall experience on this page?,Individual,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
Instructions were clear and helpful.,CurrentIncomeDetails,How easy was the page to navigate?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
The interface was clunky and slow.,CurrentIncomeDetails,How easy was the page to navigate?,Individual,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
Instructions were clear and helpful.,additionalInformation,How easy was the page to navigate?,Assister,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Great user experience, everything was intuitive.",EligibilityResult,How easy was the page to navigate?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The interface was clunky and slow.,CareTakerRelationship,Was the information on the page clear?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"Great user experience, everything was intuitive.",SignAndSubmit,Was the information on the page clear?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
Instructions were clear and helpful.,PersonalInfomration,Was the information on the page clear?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
It was confusing and difficult to understand.,CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Assister,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"Great user experience, everything was intuitive.",householdInfomration,How satisfied are you with the overall experience on this page?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The interface was clunky and slow.,incomeReported,How satisfied are you with the overall experience on this page?,Assister,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
The interface was clunky and slow.,primarycontactInfo,Did you find all the information you needed?,Agent,interface clunky slow,Negative,"{'neg': 0.846, 'neu': 0.154, 'pos': 0.0, 'compound': -0.6705}"
"Great user experience, everything was intuitive.",EligibilityResult,How satisfied are you with the overall experience on this page?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"Not user-friendly, hard to navigate.",householdInfomration,Was the information on the page clear?,Agent,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
Instructions were clear and helpful.,EligibilityResult,Was the information on the page clear?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Not user-friendly, hard to navigate.",additionalInformation,Did you find all the information you needed?,Individual,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
I experienced several errors and had to reload.,SignAndSubmit,Did you find all the information you needed?,Assister,experienced several error reload,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Instructions were clear and helpful.,CurrentIncomeDetails,How satisfied are you with the overall experience on this page?,Assister,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
"Great user experience, everything was intuitive.",incomeReported,Was there any difficulty in completing the task?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
The process was smooth and easy to follow.,householdInfomration,Did you find all the information you needed?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"Great user experience, everything was intuitive.",EligibilityResult,How easy was the page to navigate?,Assister,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"Not user-friendly, hard to navigate.",CareTakerRelationship,Was the information on the page clear?,Individual,userfriendly hard navigate,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.1027}"
It was confusing and difficult to understand.,additionalInformation,How easy was the page to navigate?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"Great user experience, everything was intuitive.",CareTakerRelationship,Was the information on the page clear?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
"Great user experience, everything was intuitive.",incomeReported,Was the information on the page clear?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
It was confusing and difficult to understand.,householdInfomration,Did you find all the information you needed?,Individual,confusing difficult understand,Negative,"{'neg': 0.815, 'neu': 0.185, 'pos': 0.0, 'compound': -0.5267}"
"Great user experience, everything was intuitive.",additionalInformation,Did you find all the information you needed?,Individual,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
I had trouble finding the information I needed.,householdInfomration,How easy was the page to navigate?,Individual,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
The process was smooth and easy to follow.,CurrentIncomeDetails,Was the information on the page clear?,Individual,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"The page loaded quickly, and the information was clear.",reviewEligibility,How easy was the page to navigate?,Agent,page loaded quickly information clear,Positive,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}"
The process was smooth and easy to follow.,additionalInformation,Was there any difficulty in completing the task?,Assister,process smooth easy follow,Positive,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}"
"Great user experience, everything was intuitive.",CareTakerRelationship,How easy was the page to navigate?,Agent,great user experience everything intuitive,Positive,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}"
I had trouble finding the information I needed.,incomeReported,How satisfied are you with the overall experience on this page?,Assister,trouble finding information needed,Negative,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}"
Instructions were clear and helpful.,SignAndSubmit,How easy was the page to navigate?,Individual,instruction clear helpful,Positive,"{'neg': 0.0, 'neu': 0.156, 'pos': 0.844, 'compound': 0.6597}"
